FID,OBJECTID,Texto,Poblacion,CodMun,Municipio,CodProvin,Provincia,X,Y
22,23,Arona,79377.0,38006,Arona,38,Santa Cruz de Tenerife,-16.679683598,28.0995178132
23,24,Candelaria,25140.0,38011,Candelaria,38,Santa Cruz de Tenerife,-16.371718386,28.3545787782
24,25,Granadilla de Abona,40862.0,38017,Granadilla de Abona,38,Santa Cruz de Tenerife,-16.576916862,28.1201750022
25,26,Guía de Isora,20535.0,38019,Guía de Isora,38,Santa Cruz de Tenerife,-16.782610711,28.2104392142
26,27,Güímar,17852.0,38020,Güímar,38,Santa Cruz de Tenerife,-16.411146815,28.3147694302
27,28,Icod de los Vinos,24231.0,38022,Icod de los Vinos,38,Santa Cruz de Tenerife,-16.713103721,28.3672476562
28,29,San Cristóbal de La Laguna,152222.0,38023,San Cristóbal de La Laguna,38,Santa Cruz de Tenerife,-16.314721106,28.4878930042
29,30,Los Llanos de Aridane,20948.0,38024,Los Llanos de Aridane,38,Santa Cruz de Tenerife,-17.914361404,28.6586386162
30,31,La Orotava,41427.0,38026,La Orotava,38,Santa Cruz de Tenerife,-16.523717605,28.3897305832
31,32,Puerto de la Cruz,32571.0,38028,Puerto de la Cruz,38,Santa Cruz de Tenerife,-16.550072072,28.4159305102
32,33,Realejo Alto,37658.0,38031,Los Realejos,38,Santa Cruz de Tenerife,-16.583188687,28.3762371042
33,34,La Esperanza,17417.0,38032,El Rosario,38,Santa Cruz de Tenerife,-16.365239816,28.4500123642
34,35,San Miguel,16707.0,38035,San Miguel de Abona,38,Santa Cruz de Tenerife,-16.614925321,28.0996458622
35,36,Santa Cruz de la Palma,17128.0,38037,Santa Cruz de la Palma,38,Santa Cruz de Tenerife,-17.765385698,28.6841380342
36,37,Santa Úrsula,14143.0,38039,Santa Úrsula,38,Santa Cruz de Tenerife,-16.493680903,28.4230859482
37,38,Santiago del Teide,12099.0,38040,Santiago del Teide,38,Santa Cruz de Tenerife,-16.816574854,28.2943159562
38,39,Tacoronte,23615.0,38043,Tacoronte,38,Santa Cruz de Tenerife,-16.416209999,28.4816841282
39,40,Tegueste,10731.0,38046,Tegueste,38,Santa Cruz de Tenerife,-16.336774002,28.5233639012
40,41,Santa Cruz de Tenerife,222643.0,38038,Santa Cruz de Tenerife,38,Santa Cruz de Tenerife,-16.247264113,28.4632572802
41,42,Almendralejo,33975.0,06011,Almendralejo,06,Badajoz,-6.407780091,38.6844527891
42,43,Badajoz,150376.0,06015,Badajoz,06,Badajoz,-6.970997038,38.8787433841
43,44,Mérida,57127.0,06083,Mérida,06,Badajoz,-6.344172115,38.9173878791
44,45,Montijo,16279.0,06088,Montijo,06,Badajoz,-6.617585401,38.9097873661
45,46,Olivenza,11906.0,06095,Olivenza,06,Badajoz,-7.099598277,38.6856604931
46,47,Villafranca de los Barros,13266.0,06149,Villafranca de los Barros,06,Badajoz,-6.339904521,38.5611528311
47,48,Zafra,16433.0,06158,Zafra,06,Badajoz,-6.4193056,38.4261789731
48,49,Cáceres,94179.0,10037,Cáceres,10,Cáceres,-6.371210922,39.4731676181
49,50,Coria,12962.0,10067,Coria,10,Cáceres,-6.53587444,39.9843934911
50,51,Plasencia,41447.0,10148,Plasencia,10,Cáceres,-6.092682285,40.0294053481
51,52,Cádiz,125826.0,11012,Cádiz,11,Cádiz,-6.284145753,36.5217115161
52,53,Conil de la Frontera,21331.0,11014,Conil de la Frontera,11,Cádiz,-6.088568773,36.2745879761
53,54,Chiclana de la Frontera,78591.0,11015,Chiclana de la Frontera,11,Cádiz,-6.14620494,36.4183691621
54,55,Chipiona,18722.0,11016,Chipiona,11,Cádiz,-6.442202151,36.7379067661
55,56,Jerez de la Frontera,208896.0,11020,Jerez de la Frontera,11,Cádiz,-6.128753397,36.7021274551
56,57,El Puerto de Santa María,88503.0,11027,El Puerto de Santa María,11,Cádiz,-6.229156336,36.6001237741
57,58,Puerto Real,40667.0,11028,Puerto Real,11,Cádiz,-6.19016115,36.5289128151
58,59,Rota,28904.0,11030,Rota,11,Cádiz,-6.363158766,36.6201111121
59,60,San Fernando,96689.0,11031,San Fernando,11,Cádiz,-6.205146686,36.4652860871
60,61,Sanlúcar de Barrameda,66541.0,11032,Sanlúcar de Barrameda,11,Cádiz,-6.35311695,36.7759800391
61,62,Bertamiráns,27900.0,15002,Ames,15,A Coruña,-8.645506882,42.8617762211
62,63,A Baiuca,30255.0,15005,Arteixo,15,A Coruña,-8.508781091,43.3052820241
63,64,Betanzos,13673.0,15009,Betanzos,15,A Coruña,-8.211677654,43.2807943251
64,65,Boiro de Arriba,19076.0,15011,Boiro,15,A Coruña,-8.886747644,42.6468382911
65,66,Cambre,23621.0,15017,Cambre,15,A Coruña,-8.342537971,43.2927507111
66,67,Carballo,31149.0,15019,Carballo,15,A Coruña,-8.690258771,43.2115289331
67,68,A Coruña,246047.0,15030,A Coruña,15,A Coruña,-8.391148533,43.3701264301
68,69,Tarrío,28737.0,15031,Culleredo,15,A Coruña,-8.390176959,43.2871704321
69,70,Fene,14092.0,15035,Fene,15,A Coruña,-8.167389198,43.4752138181
70,71,Ferrol,73638.0,15036,Ferrol,15,A Coruña,-8.234911235,43.4820153131
71,72,A Laracha,11213.0,15041,A Laracha,15,A Coruña,-8.580659976,43.2484239061
72,73,Narón,38285.0,15054,Narón,15,A Coruña,-8.198888462,43.4971123781
73,74,Noia,14947.0,15057,Noia,15,A Coruña,-8.888859294,42.7831852221
74,75,O Real,33550.0,15058,Oleiros,15,A Coruña,-8.3145904,43.3346025201
75,76,Ordes,12868.0,15059,Ordes,15,A Coruña,-8.406980649,43.0769057791
76,77,As Pontes de García Rodríguez,11336.0,15070,As Pontes de García Rodríguez,15,A Coruña,-7.844151579,43.4444267421
77,78,Rianxo,11826.0,15072,Rianxo,15,A Coruña,-8.81901823,42.6509749391
78,79,Santa Uxía de Ribeira,27504.0,15073,Ribeira,15,A Coruña,-8.991782135,42.5548639741
79,80,Sada,14734.0,15075,Sada,15,A Coruña,-8.254855458,43.3511759041
80,81,Santa Cataliña de Armada,10408.0,15077,Santa Comba,15,A Coruña,-8.810507544,43.0342585921
81,82,Santiago de Compostela,94824.0,15078,Santiago de Compostela,15,A Coruña,-8.544232393,42.8802662471
82,83,A Ramallosa,17940.0,15082,Teo,15,A Coruña,-8.548964107,42.7953277441
83,84,Aljaraque,18443.0,21002,Aljaraque,21,Huelva,-7.023273112,37.2723311951
84,85,Almonte,22204.0,21005,Almonte,21,Huelva,-6.517477683,37.2625230361
85,86,Ayamonte,20597.0,21010,Ayamonte,21,Huelva,-7.405439732,37.2243727551
86,87,Bollullos Par del Condado,13959.0,21013,Bollullos Par del Condado,21,Huelva,-6.535352709,37.3362697921
87,88,Cartaya,18415.0,21021,Cartaya,21,Huelva,-7.155488739,37.2834805591
88,89,Gibraleón,12392.0,21035,Gibraleón,21,Huelva,-6.973570262,37.3761327541
89,90,Huelva,149310.0,21041,Huelva,21,Huelva,-6.950405881,37.2600411271
90,91,Isla Cristina,21719.0,21042,Isla Cristina,21,Huelva,-7.325743064,37.2030118291
91,92,Lepe,26763.0,21044,Lepe,21,Huelva,-7.203412471,37.2551522051
92,93,Moguer,20040.0,21050,Moguer,21,Huelva,-6.836917535,37.2747102501
93,94,La Palma del Condado,10475.0,21054,La Palma del Condado,21,Huelva,-6.553128632,37.3876449031
94,95,Punta Umbría,14714.0,21060,Punta Umbría,21,Huelva,-6.957285484,37.1777585011
95,96,Valverde del Camino,12746.0,21072,Valverde del Camino,21,Huelva,-6.75345585,37.5722580161
96,97,Astorga,12015.0,24008,Astorga,24,León,-6.057137771,42.4576327931
97,98,Bembibre,10097.0,24014,Bembibre,24,León,-6.416701359,42.6150717221
98,99,Ponferrada,68767.0,24115,Ponferrada,24,León,-6.597294568,42.5476828021
99,100,Villablino,10553.0,24202,Villablino,24,León,-6.31699477,42.9398398691
100,101,Lugo,97635.0,27028,Lugo,27,Lugo,-7.558173923,43.0091281941
101,102,Monforte de Lemos,19638.0,27031,Monforte de Lemos,27,Lugo,-7.510409906,42.5234719711
102,103,Sarria,13611.0,27057,Sarria,27,Lugo,-7.414717537,42.7803212791
103,104,Vilalba,15327.0,27065,Vilalba,27,Lugo,-7.682133142,43.2969190601
104,105,Viveiro,16211.0,27066,Viveiro,27,Lugo,-7.588768166,43.6255783851
105,106,O Barco,14134.0,32009,O Barco de Valdeorras,32,Ourense,-6.983956698,42.4158247671
106,107,O Carballiño,14136.0,32019,O Carballiño,32,Ourense,-8.078443266,42.4311385461
107,108,Xinzo de Limia,10245.0,32032,Xinzo de Limia,32,Ourense,-7.725182641,42.0629432771
108,109,Ourense,108673.0,32054,Ourense,32,Ourense,-7.863683752,42.3365491861
109,110,Verín,14633.0,32085,Verín,32,Ourense,-7.436342187,41.9406673271
110,111,Cangas del Narcea,14445.0,33011,Cangas del Narcea,33,Asturias,-6.550119154,43.1767746621
111,112,Grau/Grado,11003.0,33026,Grado,33,Asturias,-6.069904524,43.3892920281
112,113,Luarca,13371.0,33034,Valdés,33,Asturias,-6.535121784,43.5445276051
113,114,Tineo,11018.0,33073,Tineo,33,Asturias,-6.414982199,43.3352557191
114,115,Bueu,12368.0,36004,Bueu,36,Pontevedra,-8.783733913,42.3279489591
115,116,Caldas de Reis,10045.0,36005,Caldas de Reis,36,Pontevedra,-8.642007252,42.6058829081
116,117,Cambados,13872.0,36006,Cambados,36,Pontevedra,-8.811351637,42.5159334381
117,118,Cangas,25913.0,36008,Cangas,36,Pontevedra,-8.784340081,42.2643126001
118,119,A Estrada,21828.0,36017,A Estrada,36,Pontevedra,-8.490534121,42.6913299251
119,120,Gondomar,13890.0,36021,Gondomar,36,Pontevedra,-8.760032986,42.1130570671
120,121,O Grove,11297.0,36022,O Grove,36,Pontevedra,-8.862717658,42.4959058411
121,122,A Guarda,10472.0,36023,A Guarda,36,Pontevedra,-8.871420833,41.9034747821
122,123,Lalín,21216.0,36024,Lalín,36,Pontevedra,-8.111231023,42.6638006791
123,124,Marín,25997.0,36026,Marín,36,Pontevedra,-8.703744663,42.3927513111
124,125,Moaña,19231.0,36029,Moaña,36,Pontevedra,-8.734116344,42.2852364141
125,126,Reguengo,14818.0,36056,Mos,36,Pontevedra,-8.654328326,42.6713890991
126,127,Nigrán,17909.0,36035,Nigrán,36,Pontevedra,-8.807388506,42.1450562101
127,128,Pontevedra,81981.0,36038,Pontevedra,36,Pontevedra,-8.647990184,42.4338144151
128,129,O Porriño,17977.0,36039,O Porriño,36,Pontevedra,-8.617631607,42.1627106441
129,130,O Convento,16309.0,36041,Poio,36,Pontevedra,-8.683743757,42.4463470681
130,131,Ponteareas,23316.0,36042,Ponteareas,36,Pontevedra,-8.504847218,42.1765727861
131,132,Redondela,30067.0,36045,Redondela,36,Pontevedra,-8.606926173,42.2865730511
132,133,Sanxenxo,17500.0,36051,Sanxenxo,36,Pontevedra,-8.80514528,42.4017558881
133,134,O Seixo,13492.0,36054,Tomiño,36,Pontevedra,-8.740287399,41.9953942021
134,135,Tui,17306.0,36055,Tui,36,Pontevedra,-8.64360417,42.0490613911
135,136,Vigo,297124.0,36057,Vigo,36,Pontevedra,-8.726377332,42.2394758261
136,137,Vilagarcía,37926.0,36060,Vilagarcía de Arousa,36,Pontevedra,-8.765249579,42.5935017001
137,138,Vilanova de Arousa,10682.0,36061,Vilanova de Arousa,36,Pontevedra,-8.826103179,42.5650378571
138,139,Ciudad Rodrigo,13777.0,37107,Ciudad Rodrigo,37,Salamanca,-6.534157696,40.5973085631
139,140,La Algaba,15255.0,41007,La Algaba,41,Sevilla,-6.013242023,37.4610871441
140,141,Bormujos,19110.0,41017,Bormujos,41,Sevilla,-6.071060425,37.3701151001
141,142,Camas,26086.0,41021,Camas,41,Sevilla,-6.034554353,37.4014709221
142,143,Castilleja de la Cuesta,17282.0,41029,Castilleja de la Cuesta,41,Sevilla,-6.05308137,37.3875448861
143,144,Coria del Río,28654.0,41034,Coria del Río,41,Sevilla,-6.051114413,37.2838380501
144,145,Espartinas,13166.0,41040,Espartinas,41,Sevilla,-6.124886881,37.3826285181
145,146,Gines,13108.0,41047,Gines,41,Sevilla,-6.077908088,37.3873957781
146,147,Guillena,11456.0,41049,Guillena,41,Sevilla,-6.052322958,37.5393969291
147,148,Lebrija,26783.0,41053,Lebrija,41,Sevilla,-6.080853557,36.9195865561
148,149,Mairena del Aljarafe,41510.0,41059,Mairena del Aljarafe,41,Sevilla,-6.065297735,37.3433187681
149,150,Pilas,13509.0,41075,Pilas,41,Sevilla,-6.302777336,37.3012094281
150,151,La Puebla del Río,12210.0,41079,La Puebla del Río,41,Sevilla,-6.060986441,37.2689458911
151,152,San Juan de Aznalfarache,21025.0,41086,San Juan de Aznalfarache,41,Sevilla,-6.027153613,37.3658466851
152,153,Sanlúcar la Mayor,13016.0,41087,Sanlúcar la Mayor,41,Sevilla,-6.201235121,37.3840744371
153,154,Tomares,23310.0,41093,Tomares,41,Sevilla,-6.046978124,37.3750300261
154,155,Baiona,12154.0,36003,Baiona,36,Pontevedra,-8.848811705,42.1204319651
155,156,La Roda,16299.0,02069,La Roda,02,Albacete,-2.159247957,39.2070650401
156,157,Villarrobledo,26686.0,02081,Villarrobledo,02,Albacete,-2.607143106,39.2675579131
157,158,Albatera,11821.0,03005,Albatera,03,Alacant/Alicante,-0.873186541,38.1788617041
158,159,Alcoy/Alcoi,61417.0,03009,Alcoy/Alcoi,03,Alacant/Alicante,-0.473183758,38.6983689431
159,160,L'Alfàs del Pi,21332.0,03011,L'Alfàs del Pi,03,Alacant/Alicante,-0.102600199,38.5800949631
160,161,Alacant/Alicante,334418.0,03014,Alacant/Alicante,03,Alacant/Alicante,-0.483183199,38.3454870431
161,162,Almoradí,19598.0,03015,Almoradí,03,Alacant/Alicante,-0.792017131,38.1097799071
162,163,Altea,24006.0,03018,Altea,03,Alacant/Alicante,-0.0514423589999,38.5989249681
163,164,Aspe,20360.0,03019,Aspe,03,Alacant/Alicante,-0.768491071,38.3457726631
164,165,Benidorm,71198.0,03031,Benidorm,03,Alacant/Alicante,-0.130685301,38.5342713551
165,166,Callosa de Segura,18008.0,03049,Callosa de Segura,03,Alacant/Alicante,-0.87933854,38.1225813581
166,167,El Campello,26941.0,03050,El Campello,03,Alacant/Alicante,-0.400865088,38.4275472421
167,168,Castalla,10513.0,03053,Castalla,03,Alacant/Alicante,-0.670265384,38.5965764231
168,169,Amurrio,10050.0,01002,Amurrio,01,Álava,-3.000073259,43.0542777531
169,170,Laudio/Llodio,18420.0,01036,Laudio/Llodio,01,Álava,-2.962564948,43.1425187981
170,171,Vitoria-Gasteiz,238247.0,01059,Vitoria-Gasteiz,01,Álava,-2.67275685,42.8505878841
171,172,Albacete,170475.0,02003,Albacete,02,Albacete,-1.855747449,38.9958805301
172,173,Almansa,25654.0,02009,Almansa,02,Albacete,-1.094146806,38.8696881101
173,174,Caudete,10450.0,02025,Caudete,02,Albacete,-0.988691195,38.7057300861
174,175,Hellín,31109.0,02037,Hellín,02,Albacete,-1.703449211,38.5121895291
175,176,Cocentaina,11534.0,03056,Cocentaina,03,Alacant/Alicante,-0.440220673,38.7454120191
176,177,Crevillent,28738.0,03059,Crevillent,03,Alacant/Alicante,-0.80855322,38.2488141361
177,178,Elche/Elx,230822.0,03065,Elche/Elx,03,Alacant/Alicante,-0.697755812,38.2674166151
178,179,Elda,54815.0,03066,Elda,03,Alacant/Alicante,-0.796110458,38.4787889401
179,180,Guardamar del Segura,16423.0,03076,Guardamar del Segura,03,Alacant/Alicante,-0.654770346,38.0898807121
180,181,Ibi,23861.0,03079,Ibi,03,Alacant/Alicante,-0.575895222,38.6226438891
181,182,Monóvar/Monòver,12928.0,03089,Monóvar/Monòver,03,Alacant/Alicante,-0.837805332,38.4372157901
182,183,Mutxamel,23066.0,03090,Mutxamel,03,Alacant/Alicante,-0.437584016,38.4237436291
183,184,Novelda,27104.0,03093,Novelda,03,Alacant/Alicante,-0.765397825,38.3860638151
184,185,La Nucia,18225.0,03094,La Nucia,03,Alacant/Alicante,-0.122897476,38.6176162311
185,186,Orihuela,87113.0,03099,Orihuela,03,Alacant/Alicante,-0.946645721,38.0857411631
186,187,Pego,11208.0,03102,Pego,03,Alacant/Alicante,-0.118031716,38.8420171351
187,188,Petrer,34634.0,03104,Petrer,03,Alacant/Alicante,-0.769537124,38.4848004251
188,189,Rojales,20953.0,03113,Rojales,03,Alacant/Alicante,-0.723186601,38.0889203701
189,190,San Fulgencio,12144.0,03118,San Fulgencio,03,Alacant/Alicante,-0.718790253,38.1122276461
190,191,Sant Joan d'Alacant,22138.0,03119,Sant Joan d'Alacant,03,Alacant/Alicante,-0.436606938,38.4015119231
191,192,Santa Pola,32507.0,03121,Santa Pola,03,Alacant/Alicante,-0.555280605,38.1931154961
192,193,San Vicente del Raspeig/Sant Vicent del Raspeig,54088.0,03122,San Vicente del Raspeig/Sant Vicent del Raspeig,03,Alacant/Alicante,-0.524990716,38.3961334771
193,194,Sax,10099.0,03123,Sax,03,Alacant/Alicante,-0.816923275,38.5384955641
194,195,Torrevieja,101091.0,03133,Torrevieja,03,Alacant/Alicante,-0.683026077,37.9777587291
195,196,Villajoyosa/La Vila Joiosa,34344.0,03139,Villajoyosa/La Vila Joiosa,03,Alacant/Alicante,-0.231928797,38.5054561071
196,197,Pilar de la Horadada,22555.0,03902,Pilar de la Horadada,03,Alacant/Alicante,-0.792427831,37.8637255411
197,198,Adra,24512.0,04003,Adra,04,Almería,-3.023302568,36.7486832461
198,199,Albox,11042.0,04006,Albox,04,Almería,-2.14799133,37.3885075791
199,200,Almería,190013.0,04013,Almería,04,Almería,-2.464131875,36.8389236201
200,201,Berja,15325.0,04029,Berja,04,Almería,-2.949482072,36.8473214681
201,202,Cuevas del Almanzora,12891.0,04035,Cuevas del Almanzora,04,Almería,-1.879918056,37.2967313031
202,203,Huércal de Almería,15628.0,04052,Huércal de Almería,04,Almería,-2.435997149,36.8840643151
203,204,Huércal-Overa,18278.0,04053,Huércal-Overa,04,Almería,-1.943031005,37.3893761931
204,205,Níjar,28242.0,04066,Níjar,04,Almería,-2.206110691,36.9658074901
205,206,Roquetas de Mar,85808.0,04079,Roquetas de Mar,04,Almería,-2.615057601,36.7646785391
206,207,Vera,14371.0,04100,Vera,04,Almería,-1.868775068,37.2467532531
207,208,Vícar,23410.0,04102,Vícar,04,Almería,-2.642420794,36.8316984281
208,209,El Ejido,85389.0,04902,El Ejido,04,Almería,-2.814908383,36.7757613671
209,210,Ávila,58245.0,05019,Ávila,05,Ávila,-4.697724598,40.6558694021
210,211,Don Benito,36227.0,06044,Don Benito,06,Badajoz,-5.861274517,38.9541008881
211,212,Villanueva de la Serena,26111.0,06153,Villanueva de la Serena,06,Badajoz,-5.799819037,38.9739075331
212,213,Aranda de Duero,33154.0,09018,Aranda de Duero,09,Burgos,-3.689242981,41.6715507861
213,214,Burgos,178574.0,09059,Burgos,09,Burgos,-3.704198052,42.3411300411
214,215,Miranda de Ebro,39038.0,09219,Miranda de Ebro,09,Burgos,-2.941782167,42.6875581811
215,216,Miajadas,10323.0,10121,Miajadas,10,Cáceres,-5.908295479,39.1526729641
216,217,Navalmoral de la Mata,17309.0,10131,Navalmoral de la Mata,10,Cáceres,-5.540442437,39.8910619501
217,218,Algeciras,116417.0,11004,Algeciras,11,Cádiz,-5.447752882,36.1313778851
218,219,Arcos de la Frontera,31449.0,11006,Arcos de la Frontera,11,Cádiz,-5.806416365,36.7482098431
219,220,Barbate,22977.0,11007,Barbate,11,Cádiz,-5.918293742,36.1920289521
220,221,Los Barrios,22587.0,11008,Los Barrios,11,Cádiz,-5.49279055,36.1852490751
221,222,Jimena de la Frontera,10440.0,11021,Jimena de la Frontera,11,Cádiz,-5.454086911,36.4356024741
222,223,La Línea de la Concepción,64645.0,11022,La Línea de la Concepción,11,Cádiz,-5.347169141,36.1676438881
223,224,Medina-Sidonia,11741.0,11023,Medina-Sidonia,11,Cádiz,-5.928708832,36.4620073561
224,225,San Roque,29588.0,11033,San Roque,11,Cádiz,-5.384024882,36.2099996321
225,226,Tarifa,17768.0,11035,Tarifa,11,Cádiz,-5.606278859,36.0103218571
226,227,Ubrique,16915.0,11038,Ubrique,11,Cádiz,-5.443142665,36.6779232741
227,228,Vejer de la Frontera,12876.0,11039,Vejer de la Frontera,11,Cádiz,-5.968337516,36.2517992991
228,229,Villamartín,12570.0,11041,Villamartín,11,Cádiz,-5.644345312,36.8620677491
229,230,L'Alcora,11029.0,12005,L'Alcora,12,Castelló/Castellón,-0.212283424,40.0756183771
230,231,Almazora/Almassora,25628.0,12009,Almazora/Almassora,12,Castelló/Castellón,-0.0644828269999,39.9459101831
231,232,Borriana/Burriana,34896.0,12032,Borriana/Burriana,12,Castelló/Castellón,-0.0836422059999,39.8896813211
232,233,Castellón de la Plana/Castelló de la Plana,180690.0,12040,Castellón de la Plana/Castelló de la Plana,12,Castelló/Castellón,-0.0454524489999,39.9858794831
233,234,Nules,13750.0,12082,Nules,12,Castelló/Castellón,-0.154732058,39.8531212131
234,235,Onda,25778.0,12084,Onda,12,Castelló/Castellón,-0.263163524,39.9642071291
235,236,La Vall d'Uixó,32983.0,12126,La Vall d'Uixó,12,Castelló/Castellón,-0.228064886,39.8242175421
236,237,Vila-real,51367.0,12135,Vila-real,12,Castelló/Castellón,-0.100762495,39.9381495731
237,238,Alcázar de San Juan,31120.0,13005,Alcázar de San Juan,13,Ciudad Real,-3.205657483,39.3887854041
238,239,Bolaños de Calatrava,12236.0,13023,Bolaños de Calatrava,13,Ciudad Real,-3.666163434,38.9058786471
239,240,Campo de Criptana,15048.0,13028,Campo de Criptana,13,Ciudad Real,-3.126142791,39.4055687981
240,241,Ciudad Real,74345.0,13034,Ciudad Real,13,Ciudad Real,-3.931319806,38.9865178111
241,242,Daimiel,18656.0,13039,Daimiel,13,Ciudad Real,-3.611616252,39.0674771881
242,243,Manzanares,19242.0,13053,Manzanares,13,Ciudad Real,-3.370243163,38.9982039181
243,244,Miguelturra,14312.0,13056,Miguelturra,13,Ciudad Real,-3.890636792,38.9647580661
244,245,Puertollano,52300.0,13071,Puertollano,13,Ciudad Real,-4.112535623,38.6862105381
245,246,Socuéllamos,13651.0,13078,Socuéllamos,13,Ciudad Real,-2.792567954,39.2847071571
246,247,La Solana,16324.0,13079,La Solana,13,Ciudad Real,-3.238981861,38.9413241911
247,248,Tomelloso,38641.0,13082,Tomelloso,13,Ciudad Real,-3.020954463,39.1582859951
248,249,Valdepeñas,31370.0,13087,Valdepeñas,13,Ciudad Real,-3.385127157,38.7602548111
249,250,Villarrubia de los Ojos,11119.0,13096,Villarrubia de los Ojos,13,Ciudad Real,-3.607718983,39.2193323591
250,251,Aguilar de la Frontera,13693.0,14002,Aguilar de la Frontera,14,Córdoba,-4.654689301,37.5186383191
251,252,Baena,20862.0,14007,Baena,14,Córdoba,-4.328970111,37.6131883421
252,253,Cabra,21266.0,14013,Cabra,14,Córdoba,-4.446577997,37.4710157181
253,254,La Carlota,13469.0,14017,La Carlota,14,Córdoba,-4.932265119,37.6751919631
254,255,Córdoba,328547.0,14021,Córdoba,14,Córdoba,-4.780335919,37.8795420741
255,256,Fuente Palmera,10865.0,14030,Fuente Palmera,14,Córdoba,-5.104125969,37.7032348091
256,257,Lucena,42308.0,14038,Lucena,14,Córdoba,-4.484524774,37.4090138981
257,258,Montilla,23907.0,14042,Montilla,14,Córdoba,-4.637868343,37.5923254271
258,259,Palma del Río,21605.0,14049,Palma del Río,14,Córdoba,-5.285228875,37.7011347661
259,260,Peñarroya-Pueblonuevo,11814.0,14052,Peñarroya-Pueblonuevo,14,Córdoba,-5.266121411,38.2987685081
260,261,Pozoblanco,17796.0,14054,Pozoblanco,14,Córdoba,-4.849592084,38.3788857321
261,262,Priego de Córdoba,23563.0,14055,Priego de Córdoba,14,Córdoba,-4.191770304,37.4398160601
262,263,Puente Genil,30245.0,14056,Puente Genil,14,Córdoba,-4.77226388,37.3883056311
263,264,Rute,10563.0,14058,Rute,14,Córdoba,-4.370238126,37.3252641801
264,265,Cuenca,56189.0,16078,Cuenca,16,Cuenca,-2.131523063,40.0765376131
265,266,Tarancón,15732.0,16203,Tarancón,16,Cuenca,-3.002999132,40.0110072051
266,267,Albolote,17637.0,18003,Albolote,18,Granada,-3.657480332,37.2309018511
267,268,Almuñécar,27703.0,18017,Almuñécar,18,Granada,-3.690916217,36.7344142281
268,269,Armilla,21895.0,18021,Armilla,18,Granada,-3.62690297,37.1403143561
269,270,Atarfe,15945.0,18022,Atarfe,18,Granada,-3.688733701,37.2227110331
270,271,Baza,21982.0,18023,Baza,18,Granada,-2.774856485,37.4907777851
271,272,Churriana de la Vega,12448.0,18062,Churriana de la Vega,18,Granada,-3.645812915,37.1488574611
272,273,Granada,239154.0,18087,Granada,18,Granada,-3.600018832,37.1764193161
273,274,Guadix,20407.0,18089,Guadix,18,Granada,-3.136380819,37.3016107201
274,275,Huétor Vega,11551.0,18101,Huétor Vega,18,Granada,-3.571740839,37.1446130101
275,276,Illora,10386.0,18102,Illora,18,Granada,-3.881723133,37.2861148741
276,277,Loja,21688.0,18122,Loja,18,Granada,-4.152187426,37.1662821931
277,278,Maracena,21097.0,18127,Maracena,18,Granada,-3.634397972,37.2072397051
278,279,Motril,60884.0,18140,Motril,18,Granada,-3.521234406,36.7457458381
279,280,Ogíjares,13255.0,18145,Ogíjares,18,Granada,-3.60924803,37.1192592041
